Source,Target,Tweet Type
nish7701,callofdutyde,reply
igamer953,nvidiageforcefr,reply
cannonfodder16,callofdutyuk,reply
kyle63932168,kontrolfreek,reply
thewnka,callofdutyuk,reply
shaqszino,threeuk,reply
hysiiikk,callofdutyfr,reply
halfishere,callofdutyuk,reply
grnskyyy,callofdutyfr,reply
mass_effected,callofdutyuk,reply
hollikmiklos,callofdutyuk,reply
itz_myers,kontrolfreek,reply
indigovirtue,threeuk,reply
tbonecaponeog,callofdutyuk,reply
laconigg,nvidiageforcefr,reply
hudesthebeast,nvidiageforcefr,reply
georgeroe13,threeuk,reply
hopybb,kontrolfreek,reply
pab_thebambino,kontrolfreek,reply
gueneauantonin,callofdutyfr,reply
mrguillemberga,callofdutyes,reply
gerrupouvih,kontrolfreek,reply
septicwolfclan,threeuk,reply
v3vince,nvidiageforcefr,reply
wiescho_144p,nvidiageforcede,reply
aurlzack,threeuk,reply
xtroni_,callofdutyes,reply
johnmclean123,threeuk,reply
poopnoodles,callofdutyuk,reply
cannonfodder16,nvidiageforceuk,reply
tanyaqusham11,threeuk,reply
ian59094052,kontrolfreek,reply
guryon_pk,threeuk,reply
maxgooff,callofdutyfr,reply
berbharris,callofdutyuk,reply
mass_effected,nvidiageforceuk,reply
melissahenderz,threeuk,reply
richxhdx,callofdutyuk,reply
lockjawgaming,callofduty,reply
thegazker,mrxsoki,reply
chimorin_,nvidiageforcefr,reply
bryce_charlie,threeuk,reply
o_l2t,callofdutyfr,reply
reg1214,kontrolfreek,reply
alexandreminon,nvidiageforcefr,reply
florine_frs,nvidiageforcefr,reply
linksuchti,playstationde,reply
author_ninja,threeuk,reply
florianbayer2,playstationde,reply
invincibleyoshi,nvidiageforcede,reply
thornkieran,threeuk,reply
massstm,nvidiageforcefr,reply
chaosbros85,callofdutyuk,reply
bennlouis5,threeuk,reply
jacquesbcoupe,nvidiageforcefr,reply
xenoxxs,callofdutyfr,reply
naara_92,callofdutyfr,reply
thefredy24,nvidiageforcefr,reply
yanisslay,nvidiageforcefr,reply
matheus55967260,callofdutyuk,reply
mass_effected,boohooman,reply
kefco68,nvidiageforcefr,reply
halfishere,astrogaminguk,reply
maxgooff,astrogamingfr,reply
tarkrozer,nvidiageforcefr,reply
brianddonatien,scuffrance,reply
trulyabeast,callofdutyuk,reply
yenxhiong,nvidiageforceuk,reply
goldrush_cod,geekstoredotcom,reply
fingaldinz,papajohnsuk,reply
haiitry,nvidiageforcefr,reply
ramonryu_yt,kontrolfreekes,reply
mathewtodd_,threeuk,reply
gluxn,callofdutyfr,reply
_sabotack,kontrolfreek,reply
fazeheavy,callofdutyes,reply
steviewondur,callofdutyuk,reply
lou_mcktsh,callofdutyfr,reply
mistic017,scuffrance,reply
georgesjalyan,callofdutyfr,reply
tudorbita,callofdutyuk,reply
establishedtm,threeuk,reply
hellfight2,nvidiageforcefr,reply
exoticaaz,callofdutyuk,reply
joshg1o14,kontrolfreek,reply
mass_effected,threeuk,reply
banksytwitch,callofdutyuk,reply
joselpxz,mrxsoki,reply
silkman2112,callofdutyuk,reply
djagentm,callofdutyuk,reply
pure_grapheur,nvidiageforcefr,reply
mikeenglishcfc,daveyboywolf,reply
netouun,_pazul,reply
17hugues,nvidiageforcefr,reply
venomzzz10,kontrolfreek,reply
ihazfn,nvidiageforcefr,reply
xtrntyy,nvidiageforcefr,reply
spierings_tim,kontrolfreek,reply
mathi_187,nvidiageforcefr,reply
manctrash,callofdutyuk,reply
fingaldinz,boohooman,reply
04dinsmore,kontrolfreek,reply
turttszn,callofdutyuk,reply
amedeo602,kontrolfreek,reply
ahzeubifreezy,itz_angel_tiger,reply
_perduu,callofdutyfr,reply
alexby2205,mrxsoki,reply
shirl2727,kontrolfreek,reply
vlade91768477,nvidiageforcefr,reply
trubeastmode31,kontrolfreek,reply
kiingdady,skyloro,reply
kilyantweet,nvidiageforcefr,reply
_tommurph,callofdutyuk,reply
imsofunky_yt,twlch63,reply
haaatk,nvidiageforcefr,reply
