Source,Target,Tweet Type
silvadigao0,derrotdevi,retweet
ktechxd,_fivem,retweet
alex_notturner,g1,retweet
vasanor_,i_am_wildcat,retweet
zeinacio7,snopey_,retweet
qamarhakimi,myaksiz,retweet
mdfariz185,matheusdaring_,retweet
cmol75,theorus_,retweet
rafaelajborgs,derrotdevi,retweet
arriqariq,vraxooo,retweet
ethansm23767443,hypex,retweet
viisz2,talvezricas,retweet
therealfyyre,i_am_wildcat,retweet
hiisyamm,tech_lagi,retweet
manorahz,hypex,retweet
lucascharmoso_,derrotdevi,retweet
joaosouuza13,lucassbivar,retweet
mishvin60,derrotdevi,retweet
cabralzin09,talvezricas,retweet
distantvicinity,news18tech,retweet
distantvicinity,distantvicinity,retweet
tchetchenencore,theorus_,retweet
arifnaufal_,tech_lagi,retweet
thierrymaccel3,derrotdevi,retweet
cewek_berponi,gamesmenfess,retweet
simaobichinho,eusouosena,retweet
gonzaboquete,porquetendencia,retweet
mkieromorir,porquetendencia,retweet
juandie55178426,sayorijoestar,retweet
paradoxamunet,hypex,retweet
rapxim1,talvezricas,retweet
ahmadyushairy,tech_lagi,retweet
antooniiin,theorus_,retweet
brunno_cav13,g1,retweet
g_sampaio_03,eusouosena,retweet
ikwnnn,tech_lagi,retweet
izeebot,hypex,retweet
dimensionaleye,80level,retweet
dimensionaleye,epicgames,retweet
jjkfedido,derrotdevi,retweet
paredes612,caminotv,retweet
paredes612,epicgamesfr,retweet
paredes612,rockstargames,retweet
dle_so,theorus_,retweet
miraisayajin,theorus_,retweet
eviliancedsstr,rednesia,retweet
m_a_amt,theorus_,retweet
salamanderevans,sayorijoestar,retweet
cabralzin09,gomescavalero,retweet
lachlcha,verge,retweet
blind_ian,hypex,retweet
nawaf_alhuwaymi,games_mixx,retweet
jsjsjsjssjsjs10,iam_johnw,retweet
jjkfedido,talvezricas,retweet
gg23gkhn,drag10line,retweet
pixelado455,gomescavalero,retweet
haziqistamam,tech_lagi,retweet
jesemaca,i_am_wildcat,retweet
joaoac9,g1,retweet
ikanjago,bolotacmcompota,retweet
r_daniloc,g1,retweet
robertrouxa,phafonso1994,retweet
neideca67310111,biatech_,retweet
ghostgamer20161,derrotdevi,retweet
nwomicat,ufoatom,retweet
