id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1189307555002175490,1189307555002175490,1572387992000,2019-10-29,22:26:32,GMT Summer Time,728699695162392576,rileyeasterart,Riley Easter 🦍,,"I know Alex Jones was kicked off youtube for good reason, but I would have loved to hear him do an ad read for Raid: Shadow Legends.",[],[],[],0,1,1,[],[],https://twitter.com/RileyEasterArt/status/1189307555002175490,False,,0,,,,,,,"[{'user_id': '728699695162392576', 'username': 'RileyEasterArt'}]",,,,
1189279029347672065,1189279029347672065,1572381190000,2019-10-29,20:33:10,GMT Summer Time,1100185089416269824,ramenbomber,Bomber,,Raid Shadow Legends must be giving out so much money for paid promotions if so many YouTubers are doing ads for it LOL,[],[],[],1,0,3,[],[],https://twitter.com/RamenBomber/status/1189279029347672065,False,,0,,,,,,,"[{'user_id': '1100185089416269824', 'username': 'RamenBomber'}]",,,,
1189239632288014336,1189239632288014336,1572371797000,2019-10-29,17:56:37,GMT Summer Time,1067350922597064705,moonfangirling,#SheraS5Spoilers,,I don't even play Raid: Shadow Legends but I do look forward to their ads.,[],[],[],0,0,0,[],[],https://twitter.com/MoonFangirling/status/1189239632288014336,False,,0,,,,,,,"[{'user_id': '1067350922597064705', 'username': 'MoonFangirling'}]",,,,
1189193809176825858,1189145971567017986,1572360872000,2019-10-29,14:54:32,GMT Summer Time,1117313212628652033,happybrownbox,bruno !,,my face when i get the raid shadow legends ad,['gobypizza'],[],[],0,0,0,[],[],https://twitter.com/happybrownbox/status/1189193809176825858,False,,0,,,,,,,"[{'user_id': '1117313212628652033', 'username': 'happybrownbox'}, {'user_id': '1072747855016714241', 'username': 'gobypizza'}]",,,,
1189167884968300544,1189167884968300544,1572354692000,2019-10-29,13:11:32,GMT Summer Time,960003197418049537,calbexd,Caleb for VP🌹🌻🌅,,I shouldn't have to double tap my screen 24 times to skip a raid shadow legends ad,[],[],[],0,0,2,[],[],https://twitter.com/CalbeXD/status/1189167884968300544,False,,0,,,,,,,"[{'user_id': '960003197418049537', 'username': 'CalbeXD'}]",,,,
1189134188814856193,1189013066266152963,1572346658000,2019-10-29,10:57:38,GMT Summer Time,1129916051427225600,ashgreycleans,Ash Grey,,Rather watch one of those RAID: SHADOW LEGENDS YouTube ads tbh.,"['kungfuman316', 'catovitch']",[],[],0,0,1,[],[],https://twitter.com/AshGreyCleans/status/1189134188814856193,False,,0,,,,,,,"[{'user_id': '1129916051427225600', 'username': 'AshGreyCleans'}, {'user_id': '283043739', 'username': 'kungfuman316'}, {'user_id': '18783993', 'username': 'catovitch'}]",,,,
1189072404531863552,1189072404531863552,1572331927000,2019-10-29,06:52:07,GMT Summer Time,3371618675,callmetopaz01,Trappist,,"I’ve lived through the phase in YouTube advertising where every video would be a Raid Shadow Legends ad. 
Dark days I tell ya.",[],[],[],0,0,1,[],[],https://twitter.com/CallMeTopaz01/status/1189072404531863552,False,,0,,,,,,,"[{'user_id': '3371618675', 'username': 'CallMeTopaz01'}]",,,,
1189052155493322752,1189052155493322752,1572327100000,2019-10-29,05:31:40,GMT Summer Time,1069422894613258241,sidney_rushed,sid,,What if hell is a neverending ad for raid shadow legends,[],[],[],0,0,6,[],[],https://twitter.com/sidney_rushed/status/1189052155493322752,False,,0,,,,,,,"[{'user_id': '1069422894613258241', 'username': 'sidney_rushed'}]",,,,
1189026257079603200,1189026257079603200,1572320925000,2019-10-29,03:48:45,GMT Summer Time,835732965246238720,warmbreadsticks,dirk/cera,,If i see. ONE MORE AD FOR RAID SHADOW LEGENDS.  pic.twitter.com/WrewogK3bg,[],[],['https://pbs.twimg.com/media/EIBFFDYW4AQpAzl.jpg'],0,0,2,[],[],https://twitter.com/WarmBreadsticks/status/1189026257079603200,False,,0,,,,,,,"[{'user_id': '835732965246238720', 'username': 'WarmBreadsticks'}]",,,,
1189003846691020801,1189003846691020801,1572315582000,2019-10-29,02:19:42,GMT Summer Time,856887654335606786,gaybitchwizard,William Shakesqueer,,The Year is 2036. the government is desperate to get money into the economy any way necessary. the president prepares to make a speech. it starts with an ad for Raid: Shadow Legends,[],[],[],0,0,0,[],[],https://twitter.com/gaybitchwizard/status/1189003846691020801,False,,0,,,,,,,"[{'user_id': '856887654335606786', 'username': 'gaybitchwizard'}]",,,,
1189001915000078339,1189001915000078339,1572315121000,2019-10-29,02:12:01,GMT Summer Time,3000818115,glacial_warrior,Glacial Warrior,,"You know, you’d think Raid: Shadow Legends would have at least a few decently large YouTube personalities talking about it of their own volition if it’s actually that good, yet the only time I see it, it’s either a regular ad or someone being sponsored by it. Hmmm... 🤔",[],[],[],0,0,0,[],[],https://twitter.com/Glacial_Warrior/status/1189001915000078339,False,,0,,,,,,,"[{'user_id': '3000818115', 'username': 'Glacial_Warrior'}]",,,,
1189000829027717120,1189000829027717120,1572314862000,2019-10-29,02:07:42,GMT Summer Time,1075509050,epicmew2,EpicMew2 ❼ Road to 2.5K #DASquad,,Is this a Raid Shadow Legends ad?  https://twitter.com/TheCWSupergirl/status/1188696936372670465 …,[],['https://twitter.com/TheCWSupergirl/status/1188696936372670465'],[],1,0,1,[],[],https://twitter.com/EpicMew2/status/1189000829027717120,False,https://twitter.com/TheCWSupergirl/status/1188696936372670465,0,,,,,,,"[{'user_id': '1075509050', 'username': 'EpicMew2'}]",,,,
